Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities
Ramesh Rathod,Adilabad,TDP, 2 ,12th Pass,3410000,815241
DR. RAMSHANKAR,Agra,BJP,0,Doctorate,1511000,639959
HARIN PATHAK,Ahmedabad East,BJP, 2 ,Post Graduate,14578184,22734
KIRITBHAI PREMJIBHAI SOLANKI,Ahmedabad West,BJP,0,Graduate Professional,26122439,709488
GANDHI DILIPKUMAR MANSUKHLAL,Ahmednagar,BJP, 9 ,10th Pass,13053391,955351
SACHIN PILOT,Ajmer,INC,0,Post Graduate,46489558,0
RAJARAM PAL,Akbarpur,INC,0,Graduate Professional,4400000,838099
DHOTRE SANJAY SHAMRAO,Akola,BJP, 4 ,Graduate Professional,19335144,2221980
K C Venugopal,Alappuzha,INC,0,Post Graduate,3533704,203374
P K Biju,Alathur,CPM,0,Post Graduate,461000,0
RAJ KUMARI CHAUHAN,Aligarh,BSP,0,12th Pass,34034506,0
Manohar Tirkey,Alipurduars,RSP,0,10th Pass,2358725,0
KUNWAR REWATI RAMAN SINGH ALIAS MANI JI,Allahabad,SP,0,Graduate Professional,18640164,226475
PRADEEP TAMTA,Almora,INC,0,Post Graduate,1590000,0
JITENDRA SINGH,Alwar,INC,0,Graduate,67967810,0
G V Harsha Kumar,Amalapuram,INC, 1 ,Post Graduate,7289000,1014298
SELJA,Ambala,INC,0,Post Graduate,46711386,0
RAKESH PANDEY,Ambedkar Nagar,BSP, 3 ,8th Pass,164078904,0
RAHUL GANDHI,Amethi,INC,0,Post Graduate,23274706,2335000
ADSUL ANANDRAO VITHOBA,Amravati,SHS, 1 ,Graduate,17708418,0
NARANBHAI BHIKHABHAI KACHHADIYA,Amreli,BJP,0,5th Pass,4748283,300000
NAVJOT SINGH SIDHU,Amritsar,BJP, 1 ,Graduate,145037236,0
DEVENDRA NAGPAL,Amroha,RLD, 6 ,Graduate,132425712,13960788
Sabbam Hari,Anakapalle,INC,0,12th Pass,85032286,450000
RAVNEET SINGH,Anandpur Sahib,INC,0,12th Pass,21821443,300000
ANANTHA VENKATA RAMI REDDY,Anantapur,INC,0,Post Graduate,13015000,0
MIRZA MEHBOOB BEG,Anantnag,JKN,0,Graduate Professional,4850000,0
Shri Bishnu Pada Ray,Andaman & Nicobar Islands,BJP, 1 ,Graduate,1241034,0
MANEKA GANDHI,Aonla,BJP, 1 ,12th Pass,175685977,0
JAGATHRAKSHAKAN,Arakkonam,DMK,0,10th Pass,59106399,0
V. Kishore Chandra Deo,Araku,INC,0,Post Graduate,247410000,0
SAKTI MOHAN MALIK,Arambag,CPM,0,Post Graduate,2415310,108000
KRISHNASAMY M,Arani,INC,0,Graduate Professional,62385765,16792067
PRADEEP KUMAR SINGH,Araria,BJP, 3 ,10th Pass,257014,764726
Meena Singh,Arrah,JD(U),0,Graduate,42436500,0
NINONG ERING,Arunachal East,INC,0,Graduate,104320000,1251784
TAKAM SANJOY,Arunachal West,INC,0,Graduate,24137021,0
BANSAGOPAL CHOWDHURY,Asansol,CPM,0,Graduate,1423763,0
Nityananda Pradhan,Aska,BJD, 1 ,Post Graduate,26616692,1525000
Adv A Sampath,Attingal,CPM, 2 ,Post Graduate,8999000,2150029
CHANDRAKANT KHAIRE,Aurangabad,SHS, 16 ,12th Pass,14151539,1472122
Sushil Kumar Singh,Aurangabad,JD(U), 4 ,Post Graduate,20887871,741199
BIREN SINGH ENGTI,Autonomous District,INC,0,Post Graduate,25297068,0
RAMAKANT YADAV,Azamgarh,BJP, 11 ,10th Pass,24494000,0
DHARMENDRA YADAV,Badaun,SP,0,Post Graduate,5682299,98000
GADDIGOUDAR P C,Bagalkot,BJP,0,Graduate Professional,16762000,6674134
AJIT SINGH,Baghpat,RLD,0,Post Graduate,58232462,13077
ADHIR RANJAN CHOWDHURY,Baharampur,INC, 4 ,10th Pass,29943557,1926083
KAMAL KISHOR,Bahraich,INC, 1 ,Graduate,1373495,0
Srikanta Kumar Jena,Balasore,INC,0,Graduate,5979551,862820
NEERAJ SHEKHAR,Ballia,SP,0,Graduate,27718262,15100000
Prasanta Kumar Majumdar,Balurghat,RSP,0,Post Graduate,1676454,0
MUKESH BHAIRAVDANJI GADHAVI,Banaskantha,INC,0,Graduate,22694764,0
R. K. SINGH PATEL,Banda,SP, 1 ,Graduate,34107955,0
P.C.Mohan,Bangalore Central,BJP, 1 ,12th Pass,53729000,32887000
D.B. Chandre Gowda,Bangalore North,BJP,0,Graduate Professional,20840751,0
H D KUMARA SWAMY,Bangalore Rural,JD(S), 3 ,Graduate,491683477,336237223
Ananth Kumar,Bangalore South,BJP,0,Graduate Professional,12206366,0
GOBINDA CHANDRA NASKAR,Bangaon,AITC,0,Post Graduate,2549515,0
Acharia Basudeb,Bankura,CPM,0,Post Graduate,3249037,0
Tara chand,Banswara,INC,0,Post Graduate,6518752,1122163
PANABAKA LAKSHMI,Bapatla,INC,0,Post Graduate,16635386,0
P.L.PUNIA,Barabanki,INC,0,Doctorate,14047833,995370
SUPRIYA SULE,Baramati,NCP,0,Graduate,515363663,0
SHARIEF UD DIN SHARIQ,Baramulla,JKN,0,Post Graduate,11955000,1310000
KAKALI GHOSH DASTIDAR,Barasat,AITC,0,Graduate Professional,12576309,335000
ANUP KUMAR SAHA,Bardhaman Purba,CPM,0,Post Graduate,7472944,0
SK. SAIDUL HAQUE,Bardhaman-Durgapur,CPM,0,Post Graduate,2414520,128172
PRAVEEN SINGH ARON,Bareilly,INC, 1 ,Graduate Professional,288019293,32622036
Sanjay Bhoi,Bargarh,INC,0,Graduate,1700000,0
Harish choudhary,Barmer,INC,0,Graduate,4953849,1295812
ISMAIL HUSSAIN,Barpeta,INC,0,Post Graduate,9931726,0
DINESH TRIVEDI,Barrackpur,AITC,0,Post Graduate,27203930,0
SK. NURUL ISLAM,Basirhat,AITC,0,12th Pass,1155500,807500
Baliram Kashyap,Bastar,BJP,0,8th Pass,9948590,1166014
ARVIND KUMAR CHAUDHARY,Basti,BSP,0,12th Pass,18643936,0
HARSIMRAT KAUR,Bathinda,SAD,0,10th Pass,603100135,13800
MUNDE GOPINATHRAO PANDURANG,Beed,BJP, 4 ,Graduate Professional,62250603,45090238
DR. MONAZIR HASSAN,Begusarai,JD(U),0,Doctorate,3583898,1682852
Angadi Suresh Channabasappa,Belgaum,BJP, 2 ,Graduate Professional,221734263,43392842
J. SHANTHA,Bellary,BJP,0,12th Pass,46572264,0
Sidhant Mohapatra,Berhampur,BJD,0,Post Graduate,4828474,118884
JYOTI DHURVE,Betul,BJP,0,Post Graduate,7135000,638122
GORAKHNATH,Bhadohi,BSP,0,Post Graduate,10158748,433968
Arjun Charan Sethi,Bhadrak,BJD,0,Post Graduate,11061000,2500000
SYED SHAHNAWAZ HUSSAIN,Bhagalpur,BJP,0,10th Pass,7472000,101000
RATAN SINGH,Bharatpur,INC,0,Graduate Professional,11967191,335314
MANSUKHBHAI DHANJIBHAI VASAVA,Bharuch,BJP,0,Graduate,2441000,833462
RAJENDRASINH GHANSHYAMSINH RANA,Bhavnagar,BJP,0,Graduate Professional,5508711,0
C P JOSHI,Bhilwara,INC,0,Doctorate,20376956,1400000
ASHOK ARGAL,Bhind,BJP, 4 ,12th Pass,7972241,100000
TAWARE SURESH KASHINATH,Bhiwandi,INC,0,Graduate,109039952,1250000
SHRUTI CHOUDHRY,Bhiwani-Mahendragarh,INC,0,Graduate Professional,167266000,17000000
KOMATIREDDY RAJ GOPAL REDDY,Bhongir,INC,0,Graduate,194763618,6057899
KAILASH JOSHI,Bhopal,BJP,0,10th Pass,5885927,0
Prasanna Kumar Patasani,Bhubaneswar,BJD,0,Post Graduate,1477178,0
N. Dharamsingh,Bidar,INC, 5 ,Post Graduate,142394557,43958832
Jigajinagi Ramesh Chandappa,Bijapur,BJP,0,Graduate,11753725,3902460
SANJAY SINGH CHAUHAN,Bijnor,RLD,0,Graduate Professional,35352625,5254245
ARJUN RAM MEGHWAL,Bikaner,BJP,0,Post Graduate,2563467,0
SATABDI ROY (BANERJEE),Birbhum,AITC,0,12th Pass,13148000,526321
Susmita Bauri,Bishnupur,CPM,0,Graduate Professional,1078000,174660
KALIKESH NARAYAN SINGH DEO,Bolangir,BJD, 2 ,Graduate,36148185,1431104
RAM CHANDRA DOME,Bolpur,CPM,0,Graduate Professional,739396,0
KAMLESH,Bulandshahr,SP,0,5th Pass,844005,0
JADHAV PRATAPRAO GANPATRAO,Buldhana,SHS, 10 ,Graduate,12052820,4541550
Jagda Nand singh,Buxar,RJD, 1 ,Graduate Professional,6565488,12263
K P Dhanapalan,Chalakudy,INC, 1 ,Graduate,2954364,0
R.DHRUVANARAYANA,Chamarajanagar,INC,0,Post Graduate,16729619,3896431
RAMKISHUN,Chandauli,SP, 10 ,Graduate Professional,4672785,0
PAWAN KUMAR BANSAL,Chandigarh,INC,0,Graduate Professional,38729400,0
KAPIL SIBAL,Chandni Chowk,INC,0,Post Graduate,319722459,0
AHIR HANSARAJ GANGARAM,Chandrapur,BJP, 30 ,10th Pass,8084050,262243
Inder Singh Namdhari,Chatra,IND,0,Graduate Professional,21277657,0
RAJENDRAN C,Chennai South,ADMK,0,Graduate Professional,27966678,0
Sudini Jaipal Reddy,Chevella,INC,0,Post Graduate,56150333,2042919
RAMSINHBHAI PATALBHAI RATHAVA,Chhota Udaipur,BJP,0,10th Pass,10501785,6624317
"THIRUMAAVALAVAN, THOL",Chidambaram,VCK, 2 ,Post Graduate,2347700,881000
M. Veerappa Moily,Chikkballapur,INC,0,Graduate,29374446,1083264
KATTI RAMESH VISHWANATH,Chikkodi,BJP, 1 ,12th Pass,28352578,0
JANARDHANA SWAMY,Chitradurga,BJP,0,Post Graduate,22836000,0
NARAMALLI SIVAPRASAD,Chittoor,TDP,0,Graduate Professional,6011000,0
GIRIJA VYAS,Chittorgarh,INC, 1 ,Doctorate,8721354,0
RAM SINGH KASWAN,Churu,BJP,0,Graduate Professional,27403097,0
NATARAJAN.P.R.,Coimbatore,CPM,0,Graduate,1767722,0
Nripendra Nath Ray,Coochbehar,AIFB, 1 ,Graduate,1133170,0
ALAGIRI S,Cuddalore,INC,0,Graduate,11866846,78136525
Bhartruhari Mahtab,Cuttack,BJD,0,Post Graduate,50793831,0
PATEL NATUBHAI GOMANBHAI,Dadra & Nagar Haveli,BJP, 3 ,5th Pass,83494860,3426035
PRABHABEN KISHORESINH TAVIAD,Dahod,INC,0,Graduate Professional,6823687,0
Nalin Kumar Kateel,Dakshina Kannada,BJP, 1 ,10th Pass,5391279,2844596
LALUBHAI PATEL,Daman & Diu,BJP,0,10th Pass,36879385,2135939
SHIVRAJ BHAIYA,Damoh,BJP,0,12th Pass,8929326,286513
KIRTI AZAD,Darbhanga,BJP, 3 ,Graduate,9789047,0
Jaswant Singh,Darjeeling,BJP,0,Graduate,83571845,744864
KIRODI LAL,Dausa,IND,0,Graduate Professional,8080496,0
Siddeswara.G.M,Davanagere,BJP,0,10th Pass,140248867,4263675
GORAKH PRASAD JAISWAL,Deoria,BSP,0,10th Pass,24217040,0
SAJJAN SINGH VERMA,Dewas,INC,0,Post Graduate,27042325,1104525
PASHUPATI NATH SINGH,Dhanbad,BJP, 2 ,Graduate,3943516,0
GAJENDRASINGH RAJUKHEDI,Dhar,INC,0,Graduate Professional,20653466,0
THAMARAISELVAN. R,Dharmapuri,DMK,0,Graduate Professional,3867546,460146
Pralhad Joshi,Dharwad,BJP,0,Graduate,14412674,3182357
KUNWAR JITIN PRASAD,Dhaurahra,INC,0,Post Graduate,32656975,0
Tathagata Satpathy,Dhenkanal,BJD, 13 ,12th Pass,5515930,0
BADRUDDIN AJMAL,Dhubri,AUDF,0,Literate,303520991,0
SONAWANE PRATAP NARAYANRAO,Dhule,BJP,0,Graduate Professional,142157029,6581693
SOMENDRA NATH MITRA,Diamond Harbour,AITC,0,Graduate Professional,14730832,157500
SRI PABAN SINGH GHATOWAR,Dibrugarh,INC,0,Graduate,9797014,0
CHITTHAN N S V,Dindigul,INC,0,Graduate,17035764,0
CHAVAN HARISHCHANDRA DEORAM,Dindori,BJP, 1 ,Graduate,8515581,1520114
JAGDAMBIKA PAL,Domariyaganj,INC, 1 ,Post Graduate,49720730,4566564
SAUGATA RAY,Dum Dum,AITC,0,Post Graduate,3971408,0
SHIBU SOREN,Dumka,JMM, 3 ,10th Pass,8229419,7265635
SAROJ PANDEY,Durg,BJP,0,Post Graduate,379787,667787
SANDEEP DIKSHIT,East Delhi,INC,0,Post Graduate,18146428,1980887
KAVURI SAMBASIVA RAO,Eluru,INC,0,Graduate Professional,126050111,945674
Prof K V Thomas,Ernakulam,INC,0,Post Graduate,15041664,2209490
GANESHAMURTHI.A.,Erode,MDMK, 1 ,Graduate,26729518,1085323
PREMDAS,Etawah,SP, 1 ,Graduate,4228828,0
NIRMAL KHATRI,Faizabad,INC,0,Doctorate,6670000,5771
AVTAR SINGH BHADANA,Faridabad,INC, 1 ,8th Pass,40573585,0
PARAMJIT KAUR GULSHAN,Faridkot,SAD,0,Post Graduate,14208609,2185837
SALMAN KHURSHEED,Farrukhabad,INC,0,Post Graduate,26140421,4765556
SUKHDEV SINGH,Fatehgarh Sahib,INC,0,10th Pass,17083247,0
RAKESH SACHAN,Fatehpur,SP, 7 ,Post Graduate,40955595,0
SEEMA UPADHAYAY,Fatehpur Sikri,BSP,0,Graduate,26545096,1595708
AKHILESH YADAV,Firozabad,SP,0,Graduate Professional,44409557,7726354
SHER SINGH GHUBAYA,Firozpur,SAD,0,10th Pass,31969676,3698744
KOWASE MAROTRAO SAINUJI,Gadchiroli-Chimur,INC,0,Graduate,10776756,500000
LALKRISHNA KISHANCHAND ADVANI,Gandhinagar,BJP, 1 ,Graduate Professional,35543172,0
BHARAT RAM MEGHWAL,Ganganagar,INC,0,Graduate Professional,5016000,400000
SATPAL MAHARAJ,Garhwal,INC,0,12th Pass,112136795,0
BIJOYA CHAKRAVARTY,Gauhati,BJP,0,Post Graduate,1870000,0
SURENDRA SINGH NAGAR,Gautam Budhha Nagar,BSP, 2 ,Graduate,492084300,0
Hari Manjhi,Gaya,BJP,0,8th Pass,1471374,389075
Gurudas Dasgupta,Ghatal,CPI,0,Post Graduate,3654001,0
RAJNATH SINGH,Ghaziabad,BJP, 1 ,Post Graduate,14902703,0
RADHEY MOHAN SINGH,Ghazipur,SP, 1 ,Graduate,22062609,1752447
DARA SINGH CHAUHAN,Ghosi,BSP, 2 ,10th Pass,2044115,927848
RAVINDRA KUMAR PANDEY,Giridih,BJP, 1 ,Graduate,32722762,3317725
NISHIKANT DUBEY,Godda,BJP,0,Post Graduate,101037987,0
BENI PRASAD VERMA,Gonda,INC,0,Graduate Professional,20183574,80932
PURNAMASI RAM,Gopalganj,JD(U), 1 ,10th Pass,3421562,533024
ADITYA NATH,Gorakhpur,BJP, 2 ,Graduate,2182212,0
Mallikarjun Kharge,Gulbarga,INC,0,Graduate Professional,50646533,5508946
JYOTIRADITYA MADHAVRAO SCINDIA,Guna,INC,0,Post Graduate,149094212,0
SAMBASIVA RAO RAYAPATI,Guntur,INC, 3 ,Graduate,147143582,45204329
PARTAP SINGH BAJWA,Gurdaspur,INC,0,Graduate,68053249,100000
INDERJIT SINGH,Gurgaon,INC,0,Graduate Professional,67383257,96692
RAM SUNDAR DAS,Hajipur,JD(U),0,10th Pass,2796489,1116705
ANURAG SINGH THAKUR,Hamirpur,BJP,0,Graduate,24150103,2504550
VIJAY BAHADUR SINGH,Hamirpur,BSP,0,Graduate Professional,42956873,623689
USHA VERMA,Hardoi,SP,0,Post Graduate,10111699,500000
HARISH RAWAT,Hardwar,INC, 1 ,Graduate Professional,11825335,0
H. D. Devegowda,Hassan,JD(S),0,Others,19624664,6499000
SARIKA SINGH,Hathras,RLD,0,Post Graduate,825272,0
SHETTI RAJU ALIAS DEVAPPA ANNA,Hatkanangle,SWP,0,10th Pass,2253785,104341
SHIVAKUMAR CHANNABASAPPA UDASI,Haveri,BJP,0,Graduate,323361935,33833437
YASHWANT SINHA,Hazaribagh,BJP, 1 ,Post Graduate,36576217,0
KRISTAPPA NIMMALA,Hindupur,TDP,0,Graduate,15917465,1216390
SUBHASH BAPURAO WANKHEDE,Hingoli,SHS, 4 ,10th Pass,3488000,484000
BHAJAN LAL,Hisar,HJC(BL),0,12th Pass,65113381,7354075
RATNA DE,Hooghly,AITC,0,Graduate Professional,8730448,0
UDAY PRATAP SINGH,Hoshangabad,INC,0,Graduate,39906000,1374065
SANTOSH CHOWDHARY,Hoshiarpur,INC,0,Graduate Professional,26816253,0
AMBICA BANERJEE,Howrah,AITC, 1 ,Graduate Professional,62926674,7233333
Asaduddin Owaisi,Hyderabad,AIMIM, 4 ,Graduate Professional,9302233,0
Adv P T Thomas,Idukki,INC,0,Post Graduate,3984094,448284
SUMITRA MAHAJAN (TAI),Indore,BJP,0,Post Graduate,7974006,4429400
DR. THOKCHOM MEINYA,Inner Manipur,INC,0,Doctorate,1639200,0
RAKESH SINGH,Jabalpur,BJP,0,Graduate,9231699,10545
KABIR SUMAN,Jadavpur,AITC,0,Graduate,3206685,0
Bibhu Prasad Tarai,Jagatsinghpur,CPI,0,Post Graduate,4460251,43000
MAHESH JOSHI,Jaipur,INC,0,Doctorate,10388500,1245000
LAL CHAND KATARIA,Jaipur Rural,INC,0,10th Pass,30650401,702835
Mohan Jena,Jajpur,BJD,0,Post Graduate,3046404,0
MOHINDER SINGH KAYPEE,Jalandhar,INC,0,Graduate Professional,48196591,125000
GHANSYAM ANURAGI,Jalaun,SP, 2 ,Post Graduate,6350833,0
A.T. NANA PATIL,Jalgaon,BJP,0,Graduate,103839607,9200000
DANVE RAOSAHEB DADARAO,Jalna,BJP, 3 ,12th Pass,24271518,530771
DEV JI PATEL,Jalore,BJP,0,10th Pass,11261830,0
Mahendra Kumar Roy,Jalpaiguri,CPM,0,Graduate Professional,2878591,0
MADAN LAL SHARMA,Jammu,INC, 1 ,10th Pass,11882734,149750
VIKRAMBHAI ARJANBHAI MADAM,Jamnagar,INC,0,Graduate,15590109,400000
ARJUN MUNDA,Jamshedpur,BJP, 2 ,Graduate Professional,12384895,176069
BHUDEO CHOUDHARY,Jamui,JD(U),0,Graduate Professional,4079000,289192
PRANAB MUKHERJEE,Jangipur,INC,0,Doctorate,26920479,0
Kamaladevi Patale,Janjgir-Champa,BJP,0,12th Pass,3556426,80000
DHANANJAY SINGH,Jaunpur,BSP, 1 ,Post Graduate,4362656,678982
DR. TARUN MONDAL,Jaynagar,IND,0,Graduate Professional,1856636,5600
DUSHYANT SINGH,Jhalawar-Baran,BJP,0,Post Graduate,64110900,2779153
MANGANI LAL MANDAL,Jhanjharpur,JD(U), 2 ,Post Graduate,5398803,1709884
PRADEEP KUMAR JAIN,Jhansi,INC, 2 ,Post Graduate,3343719,0
Pulin Bihari Baske,Jhargram,CPM,0,Graduate Professional,1484298,0
SHEESHRAM OLA,Jhunjhunu,INC,0,10th Pass,6101621,180965
CHANDRESH KUMARI,Jodhpur,INC,0,12th Pass,132881067,60744
BIJOY KRISHNA HANDIQUE,Jorhat,INC,0,Post Graduate,15428123,0
DINUBHAI BOGHABHAI SOLANKI,Junagadh,BJP, 1 ,Graduate,19460865,5945896
POONAMBEN VELJIBHAI JAT,Kachchh,BJP, 1 ,12th Pass,524126,0
Y.S. Jagan Mohan Reddy,Kadapa,INC,0,Graduate,728151658,66396966
TABASSUM BEGAM,Kairana,BSP,0,10th Pass,11667328,0
BRIJBHUSHAN SARAN SINGH,Kaiserganj,SP, 2 ,Graduate Professional,53537885,0
M M Pallamraju,Kakinada,INC,0,Post Graduate,65589882,1112763
Bhakta Charan Das,Kalahandi,INC, 4 ,Graduate Professional,5582100,2061217
DIP GOGOI,Kaliabor,INC,0,Graduate,2539058,0
SANKAR ADHI,Kallakurichi,DMK, 1 ,Graduate Professional,17837266,986068
ANAND PRAKASH PARANJAPE,Kalyan,SHS, 1 ,Post Graduate,11998220,3871225
VISWANATHAN.P,Kancheepuram,INC,0,Graduate,5685495,2246494
Rudra Madhab Ray,Kandhamal,BJD,0,Graduate,4387647,566588
DR. RAJAN SUSHANT,Kangra,BJP,0,Graduate Professional,11024873,2488285
Sohan Potai,Kanker,BJP,0,Post Graduate,8261296,0
AKHILESH YADAV,Kannauj,SP,0,Graduate Professional,48582202,7726354
HELEN DAVIDSON J,Kanniyakumari,DMK,0,Post Graduate,48455728,2123538
K Sudhakaran Kavinte Arikathu,Kannur,INC, 3 ,Post Graduate,7359040,600000
SRI PRAKASH JAISWAL,Kanpur,INC,0,12th Pass,30767980,0
ADHIKARI SISIR KUMAR,Kanthi,AITC, 1 ,12th Pass,1083159,0
Mahabali Singh,Karakat,JD(U), 3 ,8th Pass,6194257,0
KHILADI LAL BAIRWA,Karauli-Dholpur,INC,0,Graduate,62802340,5693479
