Candidate,Party,Criminal Cases,Education,Age,Constituency,Total Assets,Liabilities
Madan Singh Bisht   Winner ,INC,0,Graduate Professional,59,Dwarahat + Almora,10223000,150000
Anand Ballabh,BSP,0,10th Pass,55,Dwarahat + Almora,1287000,50000
Anil Singh Shahi,BJP,0,Graduate,39,Dwarahat + Almora,10950000,2743664
Bhupal Singh,IND,0,10th Pass,44,Dwarahat + Almora,4409418,300000
Dr. Pramod Kumar,Peoples Party of India (Democratic),0,Doctorate,46,Dwarahat + Almora,1030000,170000
Ganesh Chandra,SP,0,Graduate,43,Dwarahat + Almora,13259000,3650000
Naveen Chandra Joshi,IND,0,12th Pass,71,Dwarahat + Almora,130000,0
Prakash Chandra,AAP,0,Post Graduate,65,Dwarahat + Almora,4460000,900000
Pushpesh Tripathi,UKD,0,Post Graduate,42,Dwarahat + Almora,9103282,0
Rajendra Singh,IND,0,12th Pass,55,Dwarahat + Almora,1366185,0
Mahesh Jeena   Winner ,BJP, 2 ,Graduate,55,Salt + Almora,33257573,0
Bhole Shankar Arya (Advocate),BSP,0,Graduate Professional,35,Salt + Almora,1145000,0
Bhupendra Singh,SP,0,Post Graduate,44,Salt + Almora,67000,0
Jagdish Chandra,Uttarakhand Parivartan Party,0,12th Pass,38,Salt + Almora,1585000,0
Lalit Mohan Singh,IND,0,Graduate,37,Salt + Almora,70000,0
Rakesh Nath,UKD,0,Graduate,40,Salt + Almora,526600,0
Ranjeet Singh Rawat,INC, 1 ,10th Pass,62,Salt + Almora,39949380,11231537
Surendra Singh,IND,0,Graduate,44,Salt + Almora,3205654,140000
Suresh Bisht,AAP,0,Graduate,73,Salt + Almora,53923255,0
Pramod Nainwal   Winner ,BJP,0,Doctorate,50,Ranikhet + Almora,57084260,2500000
Deepak Kargeti,IND,0,Graduate,29,Ranikhet + Almora,136076,0
Karan Mahara,INC,0,Graduate Professional,49,Ranikhet + Almora,25871061,3376521
Manoj Kumar,BSP,0,12th Pass,49,Ranikhet + Almora,1280000,46000
Nandan Singh Bisht,AAP,0,Graduate,60,Ranikhet + Almora,20886340,0
Sunita Rikhari,SP,0,Graduate Professional,35,Ranikhet + Almora,40000,0
Tula Singh Tariyal,UKD,0,Not Given,64,Ranikhet + Almora,11601980,0
Rekha Arya   Winner ,BJP,0,Post Graduate,43,Someshwar (Sc) + Almora,252018003,8281104
Balwant Arya,SP,0,10th Pass,49,Someshwar (Sc) + Almora,1000000,0
Dinesh Chandra,Peoples Party of India (Democratic),0,8th Pass,38,Someshwar (Sc) + Almora,4850897,569000
Govind Lal,IND,0,Doctorate,52,Someshwar (Sc) + Almora,19356151,0
Harish Chandra,AAP,0,Graduate,51,Someshwar (Sc) + Almora,48245402,50000
Kiran Arya,Uttarakhand Parivartan Party,0,Post Graduate,33,Someshwar (Sc) + Almora,221820,0
Madhubala,IND,0,Graduate,42,Someshwar (Sc) + Almora,80000,0
Rajendra Lal,INC,0,10th Pass,57,Someshwar (Sc) + Almora,6467742,725239
Manoj Tewari   Winner ,INC,0,Graduate,51,Almora + Almora,20924568,0
Amit Joshi,AAP,0,Graduate Professional,41,Almora + Almora,1559052,1150000
Arjun Singh Bhakuni,SP,0,Graduate,61,Almora + Almora,631000,0
Ashok Kumar,BSP,0,Not Given,35,Almora + Almora,3725000,200000
Bhanu Prakash Joshi,UKD,0,Post Graduate,35,Almora + Almora,6500680,0
Gopal Ram,Uttarakhand Parivartan Party,0,Graduate Professional,36,Almora + Almora,229273,0
Kailash Sharma,BJP,0,Graduate,54,Almora + Almora,35095856,2286193
Vinay Kirola,IND,0,Graduate Professional,36,Almora + Almora,8016000,842497
Vinod Chandra Tiwari,IND,0,Post Graduate,27,Almora + Almora,1469000,0
Mohan Singh   Winner ,BJP,0,10th Pass,68,Jageshwar + Almora,10368250,0
Govind Singh Kunjwal,INC,0,12th Pass,77,Jageshwar + Almora,20328314,0
Manish Singh Negi,UKD,0,Others,30,Jageshwar + Almora,1350235,400000
Narayan Ram,Uttarakhand Parivartan Party,0,Graduate,63,Jageshwar + Almora,12338721,0
Narayan Ram,BSP,0,5th Pass,62,Jageshwar + Almora,506000,0
Ramesh Sanwal,SP,0,Graduate,40,Jageshwar + Almora,500000,1121032
Taradatt Pandey,AAP,0,Graduate Professional,51,Jageshwar + Almora,1005000,400000
Suresh Gariya   Winner ,BJP,0,Graduate Professional,38,Kapkote + Bageshwar,19937901,1275000
Bhoopesh Upadhyay,AAP,0,10th Pass,40,Kapkote + Bageshwar,206802000,8112000
Har Govind Joshi,BSP,0,Post Graduate,52,Kapkote + Bageshwar,250000,0
Hari Ram Shastry,SP,0,Post Graduate,80,Kapkote + Bageshwar,933500,0
Lalit Farswan,INC,0,Post Graduate,50,Kapkote + Bageshwar,30953785,129784
Rajendra Singh,IND,0,12th Pass,50,Kapkote + Bageshwar,2810000,600000
Chandan Ram Dass   Winner ,BJP,0,Graduate,63,Bageshwar (Sc) + Bageshwar,12470000,660000
Balkrishna,IND,0,10th Pass,48,Bageshwar (Sc) + Bageshwar,2100000,0
Bharav Nath Tamta,IND,0,Graduate,60,Bageshwar (Sc) + Bageshwar,18449392,0
Dinesh Ram,IND,0,10th Pass,46,Bageshwar (Sc) + Bageshwar,34000,0
Laxmi Devi,SP,0,12th Pass,30,Bageshwar (Sc) + Bageshwar,525000,0
Om Prakash,BSP,0,10th Pass,66,Bageshwar (Sc) + Bageshwar,5413081,0
Ranjeet Das,INC,0,Graduate,52,Bageshwar (Sc) + Bageshwar,5382700,0
Rajendra Singh Bhandari   Winner ,INC,0,Post Graduate,57,Badrinath + Chamoli,9808768,1000000
Bhagwati Prasad Mandoli,AAP, 6 ,Graduate,32,Badrinath + Chamoli,133000,0
Brijmohan Singh (Beeru Sajwan),UKD,0,Post Graduate,37,Badrinath + Chamoli,3406183,887717
Dheerendra Pal Singh,IND,0,Post Graduate,31,Badrinath + Chamoli,2553764,747920
Mahendra Bhatt,BJP,0,Post Graduate,50,Badrinath + Chamoli,12773693,335109
Mukesh Lal Koshwal,BSP,0,Literate,67,Badrinath + Chamoli,649000,0
Mukund Singh,IND,0,Illiterate,54,Badrinath + Chamoli,1485000,362270
Pushkar Lal Baichhwal,Peoples Party of India (Democratic),0,Post Graduate,61,Badrinath + Chamoli,21096000,4900000
Shailendra Prakash Singh,IND,0,Graduate,36,Badrinath + Chamoli,2696000,0
Sunil,IND,0,Graduate,43,Badrinath + Chamoli,1240000,300000
Vinod Joshi,CPI,0,Graduate,39,Badrinath + Chamoli,26696000,3400000
Bhupal Ram Tamta   Winner ,BJP,0,10th Pass,63,Tharali (Sc) + Chamoli,6899862,650000
Dr. Jeet Ram,INC,0,Doctorate,61,Tharali (Sc) + Chamoli,22444495,2513590
Ganesh Kumar,IND,0,8th Pass,58,Tharali (Sc) + Chamoli,3542575,0
Guddu Lal,AAP, 1 ,5th Pass,44,Tharali (Sc) + Chamoli,48000,0
Kasbi Lal Shah,UKD,0,Graduate,68,Tharali (Sc) + Chamoli,1310000,500000
Kishore Kumar,SP,0,Graduate,36,Tharali (Sc) + Chamoli,614000,0
Kunwar Ram,CPI(M),0,8th Pass,46,Tharali (Sc) + Chamoli,3160800,200000
Laxman Ram,BSP,0,8th Pass,36,Tharali (Sc) + Chamoli,156620,0
Naini Ram,Uttarakhand Janekta Party,0,12th Pass,64,Tharali (Sc) + Chamoli,1404935,0
Anil Nautiyal   Winner ,BJP,0,10th Pass,63,Karanprayag + Chamoli,10721066,0
Balwant Singh Negi,IND,0,Literate,52,Karanprayag + Chamoli,51855000,0
Dayal Singh Bisht,AAP,0,Post Graduate,48,Karanprayag + Chamoli,2376000,0
Dr Mukesh Pant,Uttarakhand Janekta Party,0,Doctorate,55,Karanprayag + Chamoli,8539000,200000
Indresh Maikhuri,CPI(ML)(L), 1 ,Post Graduate,43,Karanprayag + Chamoli,1252311,45000
Madan Mohan Singh Bhandari,IND,0,Post Graduate,38,Karanprayag + Chamoli,1430000,580000
Mukesh Negi,INC,0,Graduate,46,Karanprayag + Chamoli,22368133,150000
Ranjna Rawat,Nyaydharmsabha,0,Graduate,35,Karanprayag + Chamoli,3185000,0
Sureshi Devi,Peoples Party of India (Democratic),0,10th Pass,46,Karanprayag + Chamoli,2105000,0
Teeka Prasad Maikhuri,IND,0,Post Graduate,58,Karanprayag + Chamoli,10202000,1300000
Umesh Khanduri,UKD,0,Graduate,49,Karanprayag + Chamoli,224804,0
Khushal Singh Adhikari   Winner ,INC,0,10th Pass,55,Lohaghat + Champawat,305017339,37845711
Dheeraj Singh Ladwal,IND,0,12th Pass,26,Lohaghat + Champawat,265000,100000
Himesh Chandra Kalkhuriya,IND,0,12th Pass,44,Lohaghat + Champawat,10502672,4910000
Nisar Khan,SP,0,8th Pass,35,Lohaghat + Champawat,1500,300000
Prakash Singh Dhami,IND,0,10th Pass,38,Lohaghat + Champawat,1204000,100000
Puran Singh Fartyal,BJP,0,10th Pass,55,Lohaghat + Champawat,26520149,12636000
Rajesh Singh Bisht,AAP,0,12th Pass,38,Lohaghat + Champawat,20157318,5911969
Kailash Chandra Gahtori   Winner ,BJP,0,Graduate,53,Champawat + Champawat,106543567,0
Deepak Belwal,IND, 5 ,Graduate,27,Champawat + Champawat,15000,0
Hemesh Kharkwal,INC,0,Graduate,51,Champawat + Champawat,17388964,4000000
Jagdish Bhatt,IND,0,5th Pass,45,Champawat + Champawat,16848872,0
Madan Singh Mahar,AAP,0,Post Graduate,52,Champawat + Champawat,38967152,655000
Mohd Haarun,SP,0,Graduate,28,Champawat + Champawat,16000,0
Rakesh Chandra Verma,BSP,0,Graduate Professional,61,Champawat + Champawat,11864469,0
Pritam Singh   Winner ,INC, 3 ,Graduate Professional,63,Chakrata (St) + Dehradun,108496303,9927674
Bheem Dutt,BSP,0,12th Pass,48,Chakrata (St) + Dehradun,4133500,21000
Darshan Dobhal,AAP,0,8th Pass,53,Chakrata (St) + Dehradun,19974300,1627572
Daulat Kunvar,IND,0,10th Pass,48,Chakrata (St) + Dehradun,6977702,908000
Gajendra Dutt,IND, 1 ,Post Graduate,40,Chakrata (St) + Dehradun,935422,0
Kamlesh Bhatt,IND, 1 ,12th Pass,37,Chakrata (St) + Dehradun,31000,0
Kuldeep Singh Chauhan,IND, 1 ,Others,26,Chakrata (St) + Dehradun,71000,0
Manbir Singh Chauhan,IND,0,Post Graduate,35,Chakrata (St) + Dehradun,383450,0
Ram Sharan Nautiyal,BJP,0,Post Graduate,65,Chakrata (St) + Dehradun,191730690,10878398
Ramanand Singh,UKD,0,10th Pass,48,Chakrata (St) + Dehradun,1220000,50000
Munna Singh Chauhan   Winner ,BJP,0,Post Graduate,61,Vikasnagar + Dehradun,60321457,16790497
Bhupendra Kumar Tomar,IND,0,12th Pass,37,Vikasnagar + Dehradun,57000,0
Deshraj,BSP,0,Graduate,55,Vikasnagar + Dehradun,8725000,0
Gurumel Singh Rathod,IND,0,Graduate Professional,39,Vikasnagar + Dehradun,8319000,135000
Nav Prabhat,INC,0,Graduate Professional,65,Vikasnagar + Dehradun,108731438,19692217
Praveen Bansal,AAP,0,12th Pass,45,Vikasnagar + Dehradun,9066200,930110
Priti Thapliyal,UKD,0,Graduate,46,Vikasnagar + Dehradun,8650802,0
Raghuveer Singh Mehta,SP, 1 ,8th Pass,62,Vikasnagar + Dehradun,1735000,0
Sandeep Duby,IND, 5 ,12th Pass,42,Vikasnagar + Dehradun,41000,0
Swaraj Singh,IND,0,Post Graduate,38,Vikasnagar + Dehradun,22284400,1500000
Sahdev Singh Pundir   Winner ,BJP,0,Graduate,56,Sahaspur + Dehradun,33217876,2683500
Amit Yadav,SP,0,Graduate,36,Sahaspur + Dehradun,9970000,2000000
Aryendra Sharma,INC,0,Graduate,55,Sahaspur + Dehradun,33909020,0
Bharat Singh,AAP,0,8th Pass,48,Sahaspur + Dehradun,30676000,12450000
Deveshwar K Bhatt,IND, 2 ,Graduate,61,Sahaspur + Dehradun,55988000,0
Ganesh Prasad Kala,UKD,0,10th Pass,53,Sahaspur + Dehradun,12011700,700000
Kalpana Bisht,IND,0,12th Pass,44,Sahaspur + Dehradun,7874000,0
Kamrudeen,CPI(M),0,12th Pass,65,Sahaspur + Dehradun,27525000,500000
Lt Col Girish Chandra (Retired),Sainik Samaj Party,0,12th Pass,65,Sahaspur + Dehradun,7301491,938758
Ram Bachan Ram,Jai Maha Bharath Party,0,12th Pass,60,Sahaspur + Dehradun,30262897,150000
Yograj Singh,BSP, 3 ,8th Pass,46,Sahaspur + Dehradun,1824279,900000
Vinod Chamoli   Winner ,BJP,0,Graduate,60,Dharampur + Dehradun,30061221,1619438
Advocate Brij Bhushan Karanwal,Rashtriya Samaj Dal (R),0,Post Graduate,44,Dharampur + Dehradun,39365000,0
Balbir Kumar Talwar,Bharatiya Jan Jagriti Party,0,12th Pass,72,Dharampur + Dehradun,11149468,4500000
Beer Singh Panwar,IND,0,Graduate,44,Dharampur + Dehradun,23275057,1105863
Deepak,Peoples Party of India (Democratic),0,Illiterate,54,Dharampur + Dehradun,540000,0
Dinesh Agarwal,INC,0,Graduate Professional,72,Dharampur + Dehradun,54292880,4526000
Gulbahar,IND,0,Graduate Professional,29,Dharampur + Dehradun,173100,0
Javed Khan,IND, 2 ,Graduate Professional,45,Dharampur + Dehradun,12246685,0
Kiran Rawat Kashyap,UKD,0,Graduate Professional,40,Dharampur + Dehradun,20529000,1600000
Lalit Thapa,BSP,0,12th Pass,53,Dharampur + Dehradun,5773500,800000
Mohar Singh Kataria,Rashtriya Adarsh Party,0,Graduate,49,Dharampur + Dehradun,8202000,0
Naresh Chandra Bounthiyal,IND,0,Post Graduate,50,Dharampur + Dehradun,12347144,0
Rajendra Prasad Gairola,IND,0,12th Pass,59,Dharampur + Dehradun,120000,0
Sardar Harkishan Singh Bawa,IND,0,Graduate,47,Dharampur + Dehradun,5947000,1500000
Sardar Khan Pappu,RLD,0,8th Pass,59,Dharampur + Dehradun,2075000,25000
Sundarlal Thapliyal,IND,0,Graduate,68,Dharampur + Dehradun,185371,0
Yogendra Chauhan,AAP,0,Graduate,35,Dharampur + Dehradun,2601973,400000
Umesh Sharma Kau   Winner ,BJP,0,Graduate,67,Raipur + Dehradun,74097767,1822927
Anil Dobhal,UKD, 1 ,10th Pass,44,Raipur + Dehradun,4367200,1634000
Ganga Prasad,Aazad Samaj Party (Kanshi Ram),0,Graduate,62,Raipur + Dehradun,7000000,0
Hira Singh Bisht,INC,0,Post Graduate,81,Raipur + Dehradun,60037873,250000
Jitendra Srivastava,Rashtravadi Vikas Party,0,12th Pass,56,Raipur + Dehradun,2338697,1795870
Mohd.Ehasan,IND,0,8th Pass,51,Raipur + Dehradun,2940000,0
Narendra Singh Varma,SP,0,10th Pass,53,Raipur + Dehradun,2531000,140000
Navin Pirshali,AAP, 2 ,Post Graduate,45,Raipur + Dehradun,1153671,0
Priti Dimri,Nyaydharmsabha,0,Post Graduate,43,Raipur + Dehradun,1193797,200000
Rakesh Barthwal,Right to Recall Party,0,Post Graduate,45,Raipur + Dehradun,435596,0
Ram Pal Singh,Peoples Party of India (Democratic),0,Post Graduate,65,Raipur + Dehradun,29874033,2000000
Sarmista Praliyan,BSP,0,Graduate,48,Raipur + Dehradun,6210000,1485810
Shahid Raza,IND,0,Graduate Professional,28,Raipur + Dehradun,747428,0
Suman Karanwal,Rashtriya Samaj Dal (R),0,Post Graduate,38,Raipur + Dehradun,39365000,0
Sundar Singh Rawat (Aazad),Rashtrawadi Janlok Party (Satya),0,Doctorate,35,Raipur + Dehradun,635000,0
Khajan Dass   Winner ,BJP,0,8th Pass,63,Rajpur Road (Sc) + Dehradun,23812861,342000
Amar Singh Swedia,IND, 1 ,Graduate,51,Rajpur Road (Sc) + Dehradun,300000,0
Dhansingh,BSP,0,Post Graduate,62,Rajpur Road (Sc) + Dehradun,8327000,0
Dimpal,AAP,0,Graduate,34,Rajpur Road (Sc) + Dehradun,4205232,1818000
Kamlesh Mathur,SP,0,Graduate,40,Rajpur Road (Sc) + Dehradun,270000,0
Rajkumar,INC,0,12th Pass,60,Rajpur Road (Sc) + Dehradun,19287185,2524274
Ramu Rajoria,Aazad Samaj Party (Kanshi Ram),0,10th Pass,54,Rajpur Road (Sc) + Dehradun,7960911,4177425
Vijay Kumar,Rashtriya Uttarakhand Party,0,Graduate,51,Rajpur Road (Sc) + Dehradun,3641200,40899
Savita Kapoor   Winner ,BJP,0,12th Pass,66,Dehradun Cantonment + Dehradun,12618314,3934000
Anirudh Kala,UKD,0,Post Graduate,33,Dehradun Cantonment + Dehradun,18339500,10350000
Dinesh Rawat,IND,0,Graduate,49,Dehradun Cantonment + Dehradun,16940459,957187
Dr. R K Pathak,SP,0,Doctorate,54,Dehradun Cantonment + Dehradun,12967077,4000000
Geeta Chandola,IND,0,12th Pass,51,Dehradun Cantonment + Dehradun,5758500,0
Jaspal Singh,BSP, 2 ,12th Pass,39,Dehradun Cantonment + Dehradun,52000,0
Mohd. Salim,Peace Party,0,Graduate,46,Dehradun Cantonment + Dehradun,100000,0
Nanda Kishor Semwal,IND,0,10th Pass,44,Dehradun Cantonment + Dehradun,940000,0
Ravinder Singh Anand,AAP, 1 ,12th Pass,43,Dehradun Cantonment + Dehradun,17132200,879564
Sachin Chhetri,IND,0,Graduate,40,Dehradun Cantonment + Dehradun,2550000,0
Suryakant Dhasmana,INC, 1 ,Post Graduate,57,Dehradun Cantonment + Dehradun,38110454,0
Vinod Aswal,Rashtriya Uttarakhand Party,0,Literate,52,Dehradun Cantonment + Dehradun,298876,300000
Ganesh Joshi   Winner ,BJP,0,10th Pass,64,Mussoorie + Dehradun,97433938,6476881
Ashok Panwar,BSP,0,Graduate,55,Mussoorie + Dehradun,26823000,1800000
Godavari Thapli,INC,0,Graduate,58,Mussoorie + Dehradun,20251283,0
Manish Gauniyal,IND, 1 ,10th Pass,41,Mussoorie + Dehradun,3521334,0
Prem Kishan,AAP,0,12th Pass,43,Mussoorie + Dehradun,27079356,0
Sakuntla Rawat,UKD,0,10th Pass,56,Mussoorie + Dehradun,7000,0
Brij Bhushan Gairola   Winner ,BJP,0,Post Graduate,59,Doiwala + Dehradun,10393110,0
Ajay Kumar Kaushik,Right to Recall Party,0,Graduate,48,Doiwala + Dehradun,2703720,100000
Anurag Kukreti,SP,0,Graduate,43,Doiwala + Dehradun,7353000,0
Gaurav (Ginni),INC,0,12th Pass,44,Doiwala + Dehradun,35100000,0
Jitendra Singh Negi,IND, 1 ,Post Graduate,53,Doiwala + Dehradun,27914366,1980000
Prateek Bahuguna,Uttarakhand Parivartan Party,0,Graduate,32,Doiwala + Dehradun,598000,0
Rajkishore Singh Rawat,Uttarakhand Kranti Dal (Democratic),0,12th Pass,69,Doiwala + Dehradun,310000,0
Raju Maurya (Ketan),AAP,0,Graduate,36,Doiwala + Dehradun,11260798,1750000
Santosh Dixit,IND,0,8th Pass,36,Doiwala + Dehradun,220000,0
Shiv Prasad Semwal,UKD, 8 ,Graduate,44,Doiwala + Dehradun,7827480,3754473
Tribirendra Singh Rawat (Trivendra),IND,0,12th Pass,34,Doiwala + Dehradun,2305715,0
Vinod Kumar,BSP,0,10th Pass,44,Doiwala + Dehradun,20000,0
Prem Chand Aggarwal   Winner ,BJP,0,Post Graduate,61,Rishikesh + Dehradun,50388527,0
Anoop Singh Rana,Uttarakhand Janata Party, 2 ,12th Pass,49,Rishikesh + Dehradun,21547206,7082012
Babli Devi,Uttarakhand Raksha Morcha,0,12th Pass,39,Rishikesh + Dehradun,1515230,1000000
